problem_id,title,A,B,C,D,E,answer,count
13,党的十九大报告提出，要以县处级以上领导干部为重点，在全党开展（）主题教育，用党的创新理论武装头脑，推动全党更加自觉地为实现新时代党的历史使命不懈奋斗。,“不忘初心、牢记使命”,“两学一做”,“三会一课”,"","",A,5
14,在新的历史起点，党的（）报告提出了社会主义建设的两个百年目标，“在中国共产党成立一百年时全面建成小康社会”，“在新中国成立一百年时建成富强民主文明和谐的社会主义现代化国家”。,十六大,十七大,十八大,"","",C,10
15,1957年11月17日，（）在莫斯科向中国留学生说：“世界是你们的，也是我们的，但是归根结底是你们的。你们青年人朝气蓬勃，正在兴旺时期，好像早晨八、九点钟的太阳”。,毛泽东,刘少奇,周恩来,"","",A,6
16,（）是民族进步的灵魂，是一个国家兴旺发达的不竭源泉，也是中华民族最深沉的民族禀赋，正所谓“苟日新，日日新，又日新”。,改革,发展,创新,"","",C,4
17,广大青年要把正确的道德认知、自觉的道德养成、积极的道德实践紧密结合起来，自觉树立和践行（），带头倡导良好社会风气。,社会主义核心价值观,社会主义核心价值体系,社会主义理想,"","",A,3
18,（）是当代大学生完成党和国家赋予的历史使命应该具备的首要的、基础的、方向性的素质，是其他素质的核心、统帅和灵魂。,思想政治道德素质,知识能力素质,身体心理素质,"","",A,5
19,（）主要指当代大学生的处理与自然和社会的关系中应具备的知识、精神要素和实践能力，知识素质是能力素质的基础，能力素质是知识素质的外在表现。,思想政治道德素质,知识能力素质,身体心理素质,"","",B,8
20,著名科学家（）曾说过：“如果工作的目的是为党的事业、人民的利益，就会产生一种强烈的靠近党的欲望，进而自己也就会提出做一名共产党员的要求。”,钱学森,李四光,华罗庚,"","",A,7
21,早在中学读书的时候，就立下了“为中华之崛起而读书”、“志在四方”的人是（）。,毛泽东,蔡和森,周恩来,"","",C,6
22,1920年8月，（）在上海发起成立了中国共产党的第一个早期组织。,李大钊,陈独秀,蔡和森,"","",B,6
23,1920年9月1日，陈独秀在（）发表了《对于时局之我见》一文中，曾称“吾党”为“社会党”，后来才改称为“共产党”。,《每周评论》,《新青年》,《少年中国》,"","",B,1
24,最先在中国提出“中国共产党”这一名称的是（）。,李大钊,陈独秀,蔡和森,"","",C,13
25,（）是当代中国发展进步的根本方向，是全国各族人民的共同理想。,社会主义,共产主义,中国特色社会主义,"","",C,7
26,1840年鸦片战争以后，国际资本主义、帝国主义的势力侵入中国，中国的社会结构由封建社会逐步演变为（）。,资本主义社会,殖民地社会,半殖民地半封建社会,"","",C,4
27,（）领导的辛亥革命，结束了统治中国几千年的君主专制制度，对推动中国社会进步具有重大意义。,康有为,孙中山,陈独秀,"","",B,7
28,（）俄国十月革命的胜利给中国送来了马克思列宁主义，使中国的先进分子找到了救国救民的真理。,1917年,1918年,1919年,"","",A,8
29,（）爆发的五四运动，促进了马克思主义同中国工人运动的结合，为中国共产党的建立作了思想上和干部上的准备。,1917年,1918年,1919年,"","",C,12
30,中国共产党成立于（）。,1919年,1920年,1921年,"","",C,7
31,1921年7月23日，中国国内各地的共产党组织和旅日的党组织共派出13名代表，在（）举行中国共产党第一次全国代表大会。,北京,上海,武汉,"","",B,8
32,中国共产党领导中国人民取得了伟大胜利，使具有（）年文明历史的中华民族全面迈向现代化，让中华文明在现代化进程中焕发出新的蓬勃生机。,2000年,3000年,5000年,"","",C,12
33,经过长期努力，中国特色社会主义进入了（），这是我国发展新的历史方位。,新阶段,新时期,新时代,"","",C,3
35,党的（）报告指出“在改革开放三十多年一以贯之的接力探索中，坚定不移高举中国特色社会主义伟大旗帜，既不走封闭僵化的老路、也不走改旗易帜的邪路。”,十六大,十七大,十八大,"","",C,7
36,中国特色社会主义理论体系不包括（）。,毛泽东思想,邓小平理论,“三个代表”重要思想,"","",A,2
37,作为党的指导思想，毛泽东思想解决的最根本的问题是（）。,什么是新民主主义革命，怎么进行新民主主义革命,什么是社会主义，怎样建设社会主义,建设什么样的党，怎样建设党,"","",A,6
38,作为党的指导思想，邓小平理论解决的最根本的问题是（）。,什么是社会主义，怎样建设社会主义,建设什么样的党，怎样建设党,实现什么样的发展，怎样发展,"","",A,11
39,作为党的指导思想，“三个代表”重要思想解决的最根本的问题是（）。,什么是社会主义，怎样建设社会主义,建设什么样的党，怎样建设党,实现什么样的发展，怎样发展,"","",B,9
40,作为党的指导思想，科学发展观解决的最根本的问题是（）。,什么是社会主义，怎样建设社会主义,建设什么样的党，怎样建设党,实现什么样的发展，怎样发展,"","",C,10
41,（）是党的十八大以来党中央抓党的建设的鲜明主题。,全面深化改革,全面从严治党,全面依法治国,"","",B,7
42,学习贯彻（）精神，必须更加深入地认识和把握全面从严治党，坚定不移地推进全面从严治党。,十八届四中全会,十八届五中全会,十八届六中全会,"","",C,10
43,（）是第一个把《共产党宣言》翻译成中文，把这一著作全文传入中国的人。,蔡和森,陈望道,李大钊,"","",B,7
44,（）是党的根本的组织原则和组织制度，也是党的根本的领导制度和工作制度。,民主集中制,人民民主专政,人民代表大会制度,"","",A,5
45,（），才能始终保证社会主义现代化建设的正确方向。,坚持马克思主义,坚持党的领导,坚持社会主义道路,"","",B,8
46,反对（），重在解决作风飘浮、工作不实，文山会海、表面文章，贪图虚名、弄虚作假等问题。,形式主义,官僚主义,享乐主义,"","",A,5
47,反对（），重在解决脱离实际、脱离群众，消极应付、推诿扯皮，作风霸道，迷恋特权等问题。,形式主义,官僚主义,享乐主义,"","",B,10
48,反对（），重在解决追名逐利、贪图享受，讲究排场、玩物丧志等问题。,官僚主义,享乐主义,奢靡之风,"","",B,5
49,反对（），重在解决铺张浪费、挥霍无度、骄奢淫逸、腐化堕落等问题。,官僚主义,享乐主义,奢靡之风,"","",C,8
50,中国共产党的力量之源和胜利之本是（）。,人民群众,工人阶级,广大共产党员,"","",A,12
51,（）规定了党的最高纲领是实现社会主义、共产主义，最低纲领是消除内乱，打倒军阀，建立国内和平；推翻国际帝国主义的压迫，达到中华民族完全独立；统一中国为真正的民主共和国。,党的一大,党的二大,党的三大,"","",B,9
52,毛泽东在党的七大的报告（）中将新民主主义的政治、经济和文化明确规定为党在新民主主义时期的基本纲领。,《新民主主义论》,《论联合政府》,《论人民民主专政》,"","",B,8
53,（）是我们党执政兴国的第一要务。,改革,发展,稳定,"","",B,7
54,党的（）提出了“创新、协调、绿色、开放、共享”的发展理念。,十八届四中全会,十八届五中全会,十八届六中全会,"","",B,11
55,上海共产主义小组成立后，于1920年11月，制定了（）。该宣言是为全国建党提出的纲领性文件。,《共产党宣言》,《中国共产党宣言》,《共产主义宣言》,"","",B,5
56,（）党的八大通过了社会主义建设的纲领。,1954年,1955年,1956年,"","",C,7
57,《中华人民共和国宪法》是（）通过的。,1954年,1955年,1956年,"","",A,7
58,全党必须毫不动摇坚持以（）为中心，聚精会神抓好发展这个党执政兴国的第一要务，坚持以人民为中心的发展思想，统筹推进“五位一体”总体布局和协调推进“四个全面”战略布局。,政治建设,经济建设,文化建设,"","",B,7
59,全党必须毫不动摇坚持以经济建设为中心，聚精会神抓好发展这个党执政兴国的第一要务，坚持以人民为中心的发展思想，统筹推进（）总体布局和协调推进“四个全面”战略布局。,“三位一体”,“四位一体”,“五位一体”,"","",C,6
60,全党必须毫不动摇坚持以经济建设为中心，聚精会神抓好发展这个党执政兴国的第一要务，坚持以人民为中心的发展思想，统筹推进“五位一体”总体布局和协调推进（）战略布局。,“二个全面”,“三个全面”,“四个全面”,"","",C,11
61,中国共产党成立之初，就郑重地把（）写在自己的旗帜上。,马克思列宁主义,毛泽东思想,“三个代表”重要思想,"","",A,9
62,经过延安整风和党的七大，中国共产党郑重地把马克思列宁主义与中国革命的实践相统一的思想——（）写在自己的旗帜上。,毛泽东思想,邓小平理论,“三个代表”重要思想,"","",A,10
63,十八大报告最大的理论贡献和突出亮点，就是把（）确立为党的指导思想。,科学发展观,邓小平理论,“三个代表”重要思想,"","",A,5
64,（）是马克思主义中国化最新成果。,习近平新时代中国特色社会主义思想,“三个代表”重要思想,科学发展观,"","",A,6
65,发展理念，具体展开为创新、协调、绿色、开放、共享这五大理念。这五大理念中，（）是引领发展的第一动力。,创新,协调,绿色,"","",A,7
66,发展理念，具体展开为创新、协调、绿色、开放、共享这五大理念。这五大理念中，（）是永续发展的必要条件和人民对美好生活追求的重要体现。,创新,协调,绿色,"","",C,9
67,习近平强调，“我们要继承和弘扬联合国宪章的宗旨和原则，构建以（）为核心的新型国际关系，打造人类命运共同体”。,合作共赢,和平发展,公平正义,"","",A,2
68,全面深化改革的总目标，是完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化，核心问题是处理好（）的关系。,党和政府,政府和市场,计划和市场,"","",B,8
69,全面推进依法治国的总目标是建设中国特色社会主义法治体系，建设社会主义法治国家，核心问题是正确认识（）的关系。,党和人民,党和法治,党和政府,"","",B,2
70,总体国家安全观的根本是（）。,人民安全,政治安全,经济安全,"","",B,7
71,1920年11月7日，中共上海共产主义小组创办的（）月刊是中国共产党的第一个党刊。,《劳动界》,《劳动者》,《共产党》,"","",C,5
72,邓小平理论是在（）成为当代世界两大主题的历史条件下形成和发展起来的。,战争与革命,改革与开放,和平与发展,"","",C,6
73,科学发展观最鲜明的精神实质是（）。,解放思想,实事求是,求真务实,与时俱进,"","A,B,C,D",26
74,（）是党最根本、最重要的纪律，遵守党的（）是遵守党的全部纪律的基础。,政治纪律,组织纪律,廉洁纪律,"","",A,11
75,党的（）是规范和处理党的各级组织之间、党组织和党员之间以及与党员之间关系的行为规范。,政治纪律,组织纪律,群众纪律,"","",B,12
76,留党察看最长不超过（）。党员在留党察看期间没有表决权、选举权和被选举权。,一年,两年,三年,"","",B,11
77,党内的最高处分是（）。,撤销党内职务,留党察看,开除党籍,"","",C,7
78,申请入党的同志必须是年满（）岁的中国工人、农民、军人、知识分子和其他社会阶层的先进分子。,十六,十七,十八,"","",C,5
79,十九大党章明确规定，如果无正当理由连续（）不交纳党费，就被认为是自行脱党。党的支部大会应当决定把这样的党员除名，并报上级党组织批准。,半年,一年,两年,"","",A,4
80,1944年9月8日，毛泽东在张思德追悼会上发表的（）的著名演讲中指出：“我们这个队伍完全是为着解放人民的，是彻底地为人民的利益工作的”。,《改造我们的学习》,《学习与时局》,《为人民服务》,"","",C,9
81,“贯彻‘三个代表’重要思想，关键在坚持（），核心在坚持党的先进性，本质在坚持执政为民。”,解放思想,实事求是,与时俱进,"","",C,3
82,党员权利是党内民主的体现，同党员义务一样，它也是由党章规定的，非经党的（）同意，不能随意变动。,地方党委会,中央委员会,全国代表大会,"","",C,2
83,党员的先进性，党员与一般群众的根本区别，就在于党员具有高度的（）。,组织纪律性,历史使命感与责任感,共产主义觉悟,全心全意为人民服务的品质,"",C,13
84,共产党员要始终做到个人利益服从（）。,单位利益,部门利益,党和人民利益,"","",C,11
85,在党的会议上，所有参加会议有表决权的正式党员，（）。,只能投赞成票,或投赞成票，或投反对票,既可投赞成票，也可投反对票，还可投弃权票。,"","",C,13
86,大学生入党积极分子，应自觉接受培养教育，并经过（）的支部考察，经党支部推荐，可发展为预备党员。,半年,一年,两年,"","",B,6
87,党组织收到入党申请书，应当在（）内派人同入党申请人谈话，了解基本情况。,一个月,两个月,三个月,"","",A,7
88,积极要求进步的大学生在提交入党申请书满（）之后，若在各方面表现突出，便将被党组织确定为重点培养对象，即发展对象。,半年,一年,一年半,"","",B,2
89,按照中国共产党的有关规定，基层党委或县级党委组织部门应当对发展对象进行短期集中培训。培训时间一般不少于（）。没有经过短期集中培训，或者成绩不合格者，不能发展为预备党员。,三天,十天,十五天,"","",A,5
90,十九大党章规定：预备党员的预备期为（）。预备期是党组织对预备党员进一步教育考察的重要时期，而且又关系到党员的党龄，关系到党员的政治生命。,半年,一年,两年,"","",B,4
91,大学生预备党员经过（）的教育考察，由本人提交预备党员转正申请书，经党支部大会讨论、党委审核通过后便可转为正式党员。,半年,一年,两年,"","",B,9
92,预备党员在预备期满前（）时间左右，应主动向党组织提出转正申请，把自己在预备期期间的表现和优缺点向党支部作出比较系统、全面的书面汇报。,一个月,两个月,三个月,"","",A,8
93,预备党员如果超过预备期（）才提出转正申请的，需加写一份《延迟申请转正说明》，实事求是地写明延迟原因，并由本人签名。,一个月,两个月,三个月,"","",C,3
